GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceClassPaginationAndDTOMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,UserMapper,24,88,2,4,9,26,4,7,2,6
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceImplPaginationAndDTOMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceClassAndDTOMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceImplAndDTOMapperImpl,60,37,9,3,15,12,7,4,2,3
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,BankAccountMapperImpl,41,231,12,20,13,67,11,12,1,6
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceClassAndDTOMapperImpl,60,37,9,3,15,12,7,4,2,3
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,FieldTestMapstructEntityMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithDTOMapperImpl,33,64,6,6,9,18,5,6,1,4
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithServiceImplPaginationAndDTOMapperImpl,60,37,9,3,15,12,7,4,2,3
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,BankAccountMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithDTOMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,EntityWithPaginationAndDTOMapper,0,13,0,2,0,5,0,2,0,1
Jhipster Sample Application,io.github.jhipster.sample.service.mapper,FieldTestMapstructEntityMapperImpl,33,592,20,24,9,154,19,8,1,4
